Montreal;Final Classification;;;;;;;;;;
Date / Time:;11.10.2022 / 04:35;;;;;;;;;;
Session:;Race;Laps:;35;;;;
Fastest lap:;Dean M;1:11.970;;;;;;
Pos;Name;RaceNumber;Team;Gap;BestLapTime;Pitstops;Pen. in-game;Pen. stewards;Points;GridPos;Status;
1;Dean M;69;Red Bull;47:01.419;1:11.970;2;6;0;16;1;finished
2;Riccardo G;46;Haas;+6.505;1:13.126;2;9;0;12;3;finished
3;Mehdi T;21;Ferrari;+9.483;1:13.085;1;11;0;10;4;finished
4;Martin S;15;Mercedes;+9.589;1:13.624;3;3;25;3;6;finished
5;Marcel Å˜;34;Williams;+12.637;1:13.638;2;3;0;8;11;finished
6;Appo M;13;AlphaTauri;+19.410;1:13.337;1;3;0;6;9;finished
7;Adit M;69;Aston Martin;+21.740;1:13.113;3;12;15;2;5;finished
8;Paul R;19;Williams;+29.142;1:13.755;2;9;0;5;12;finished
9;Tabonga Z;4;McLaren;+33.510;1:14.013;3;15;0;4;8;finished
10;Jordan F;2;McLaren;+1 Lap;1:14.272;2;6;0;1;14;finished
11;Carter N;31;Alpine;+10 Laps;1:13.859;1;0;0;0;7;disqualified
12;Michal B;2;Mercedes;+21 Laps;1:14.578;2;3;0;0;13;disqualified
13;Med M;20;Haas;+21 Laps;1:13.905;2;0;0;0;2;disqualified
14;Alexandre M;85;Ferrari;+26 Laps;1:14.603;1;12;5;0;10;disqualified
